id;region;sex;age;income;isMarried;nchildren;religious;education;occupation;rate_marriage;naffairs
497;1;0;42;379164,4063;1;1;4;12;3;1;12 
498;2;1;27;633818;0;0;3;14;5;1;7 
499;3;0;32;143080;0;1;4;18;1;1;7 
500;2;1;32;170885,6563;0;1;3;12;3;1;1 
501;1;1;47;250447,1094;1;1;5;16;3;4;3 
502;1;1;37;116767,9219;1;1;2;20;1;4;12 
503;2;1;22;197458,6563;0;1;2;17;5;1;7 
504;2;1;27;332942,4063;1;0;2;14;2;5;1 
505;1;0;52;292263,4688;0;1;5;16;5;1;7 
506;2;1;27;440111,9688;0;0;3;14;2;1;1 
507;1;0;27;179710,5469;1;1;4;16;2;4;1 
508;3;1;32;375072,2188;1;1;3;14;2;4;1 
509;3;1;32;216506,0625;1;1;2;18;2;1;7 
510;2;1;22;712530,5;1;0;1;14;3;2;3 
511;3;1;22;537032,25;1;1;3;18;5;4;7 
512;2;1;42;259950,3594;1;1;4;20;2;4;7 
513;3;0;57;470010,6563;0;1;1;18;5;1;2 
514;3;0;32;240381,5469;1;1;3;18;2;2;7 
515;1;1;27;708372,3125;1;1;1;16;2;4;1 
516;2;1;32;508790,125;0;1;4;16;1;1;7 
517;2;1;57;446950;1;1;1;17;5;4;2 
518;1;0;42;207921,4688;0;1;4;14;1;1;7 
519;3;1;37;997228,1875;1;1;1;18;4;3;7 
520;3;1;42;270536,5313;1;1;3;17;5;1;3 
521;2;0;52;203101,1875;0;1;3;14;3;1;1 
522;2;0;27;602197,3125;1;1;3;17;4;3;2 
523;2;1;32;294484,0938;1;1;2;12;3;2;12 
524;1;1;22;332787,3125;1;0;4;14;3;5;1 
525;3;1;27;884940;0;1;3;18;4;1;3 
526;2;0;37;568920;0;1;1;18;5;1;12 
527;1;0;32;100183,2266;1;1;3;17;3;3;7 
528;1;0;27;503000;0;0;2;17;5;1;7 
529;3;0;32;189642,4688;1;1;3;17;2;3;1 
530;1;1;32;562456;1;1;2;14;5;4;1 
531;3;0;42;658640;0;1;4;14;2;1;12 
532;3;1;32;417577,5;1;1;3;14;1;4;7 
533;2;1;37;511020;1;1;1;20;3;3;7 
534;3;0;27;157076,4063;1;1;2;16;4;3;1 
535;3;0;42;389197,5313;1;1;3;14;2;3;12 
536;3;1;27;366197,2813;0;1;5;20;5;1;1 
537;2;1;37;415461,3438;0;1;2;20;1;1;12 
538;3;0;27;273867,6563;0;1;1;14;3;1;12 
539;2;0;27;487737,9688;0;1;4;12;2;1;3 
540;1;1;32;287946;1;1;2;14;4;4;3 
541;2;0;27;374019,6563;1;1;2;12;3;3;12 
542;1;0;32;266287,7188;1;1;3;18;3;4;12 
543;1;0;22;203933,3281;1;0;4;14;3;3;2 
544;3;1;32;456831,2188;1;1;4;20;3;5;1 
545;2;1;27;691717,125;0;1;2;18;2;1;7 
546;1;0;22;619108,6875;1;1;5;14;4;3;1 
547;3;0;32;367233,0313;1;0;3;17;5;1;12 
548;3;0;42;257090,3125;1;1;2;12;2;2;12 
549;1;1;42;166130,4375;1;1;3;20;4;4;7 
550;1;1;32;129826,0859;1;0;2;18;4;2;12 
551;1;0;32;313639,9063;1;1;3;9;3;1;12 
552;1;1;57;148408,5781;0;1;5;20;5;1;7 
553;2;1;47;293242,375;0;1;4;20;2;1;12 
554;3;0;42;420869,5625;0;1;2;17;3;1;2 
555;2;1;37;289330;0;1;3;17;1;1;12 
556;3;1;37;198466,1875;0;1;5;17;2;1;12 
557;1;1;27;284092;1;1;2;20;2;4;7 
558;3;1;37;242000;0;1;2;16;1;1;2 
559;2;0;32;312365,875;0;1;1;14;5;1;12 
560;1;1;32;287528,75;0;1;3;17;3;1;7 
561;2;1;37;255053,5938;1;1;4;18;5;1;2 
562;3;0;27;349566,7188;0;0;2;17;4;1;7 
563;1;0;47;435375,4375;1;1;2;17;1;2;3 
564;2;1;37;381035,3125;0;1;2;17;5;1;12 
565;2;0;27;684419,375;1;0;2;14;5;5;12 
566;3;0;27;469500;1;1;4;14;1;5;2 
567;3;0;22;268261,0313;1;1;3;16;2;3;1 
568;1;1;52;138866,1563;1;0;4;16;4;5;12 
569;3;0;27;292154,7188;0;1;1;16;3;1;2 
570;1;0;37;421666,6563;0;1;2;17;1;1;7 
571;3;0;27;123313,6016;1;0;1;17;2;1;2 
572;1;0;27;514428,25;1;1;2;12;1;5;12 
573;1;0;32;732619,625;1;1;5;18;3;4;7 
574;2;0;22;148761,125;1;0;1;16;2;5;7 
575;2;1;32;243008,7813;0;1;4;18;1;1;2 
576;1;0;22;323434,7813;0;1;3;18;3;1;1 
577;2;0;42;101003,2266;0;1;2;17;4;1;3 
578;2;1;32;280842,5938;1;1;4;16;3;4;1 
579;2;1;37;130649,7422;0;0;3;14;2;1;12 
580;1;1;42;135377,4688;1;1;3;16;1;3;1 
581;2;1;27;259600;1;1;1;18;2;4;1 
582;1;1;37;99965,5;0;1;4;20;3;1;2 
583;3;1;37;288309,8438;1;1;3;20;4;4;7 
584;3;1;22;172400;0;0;2;12;2;1;3 
585;1;1;32;161139,5;1;1;3;20;4;2;3 
586;1;1;32;90273,64844;0;1;5;20;4;1;2 
587;3;0;52;178627,2031;0;1;1;18;2;1;12 
588;1;1;47;468281,5;1;0;1;18;5;5;12 
589;3;0;32;418000;0;1;4;16;2;1;3 
590;2;0;32;279470;0;1;3;14;2;1;7 
591;2;0;27;801940,25;0;1;4;16;2;1;7 
592;1;1;42;84780;0;1;3;18;5;1;12 
593;2;0;42;295004,3438;0;1;2;14;2;1;7 
594;3;1;27;322956;0;1;2;17;5;1;12 
595;1;1;32;651848,3125;0;1;4;14;3;1;3 
596;1;1;47;494236;1;1;3;16;5;2;7 
597;2;1;22;148468,375;1;1;1;12;5;5;1 
598;2;0;32;122240;0;1;2;18;1;1;7 
599;1;1;32;276105,2188;1;1;2;17;5;5;2 
600;1;1;22;340067,1875;1;1;3;18;4;2;2 
601;2;0;32;332525,3438;0;1;3;14;4;1;1 
